,genre,win,mac,linux,positive_ratio,price_final,title
126,Adventure,1,0,0,1.0665886678745276,10819.649500000001,Injustice™ 2 - Black Manta
127,Adventure,1,1,1,1.2226748143927513,4481.779500000001,My Coloring Book: Transport
128,Adventure,1,0,0,1.2226748143927513,2218.2545,Bean Battles
129,Adventure,1,0,0,1.1056102045040834,45225.2295,Forest Legends: The Call of Love Collector's Edition
130,Adventure,1,0,0,1.053581488998009,45225.2295,Gravel Ice and Fire
131,Adventure,1,0,0,1.0665886678745276,135766.2295,MechWarrior Online™ Solaris 7 Hero Pack
132,Adventure,1,0,0,1.0275671312449717,99549.82949999999,Honey I Joined a Cult
133,Adventure,1,0,0,1.0145599523684532,17610.2245,Magic Realm: Online
134,Adventure,1,1,1,1.0405743101214904,13535.879500000001,The Last Wizard
135,Adventure,1,0,0,0.9625312368623786,22589.9795,Adventure Time: Magic Man's Head Games
136,Adventure,1,1,1,1.1186173833806021,0.0,Seduce Me the Otome
137,Adventure,1,1,1,1.157638920010158,67860.4795,Ittle Dew 2+
138,Adventure,1,0,0,0.9625312368623786,4481.779500000001,Batman™: Arkham Knight - GCPD Lockdown
139,Adventure,1,1,0,1.1836532777631954,31644.079500000003,Camp Sunshine
140,Adventure,1,1,0,1.1966604566397139,36171.1295,Trapper's Delight
141,Adventure,1,0,0,1.1316245622571208,22589.9795,Street Fighter V - Capcom Pro Tour 2016 Pack
142,Adventure,1,1,0,1.2486891721457885,22589.9795,RWBY: Grimm Eclipse - JNPR
143,Adventure,1,0,0,1.1706460988866767,72387.5295,Castle Must Be Mine
144,Adventure,1,1,0,1.1446317411336395,18062.929500000002,Old Man's Journey
145,Adventure,1,1,1,1.2226748143927513,45225.2295,Cosmic Express
146,Adventure,1,0,0,1.1966604566397139,45225.2295,Hakuoki: Kyoto Winds
147,Adventure,1,1,1,1.0275671312449717,181036.72950000002,Old World
148,Adventure,1,1,1,1.1056102045040834,45225.2295,Catmaze
149,Adventure,1,0,0,1.1186173833806021,67860.4795,Mayhem in Single Valley
150,Adventure,1,0,1,1.2356819932692698,9008.8295,King Arthur's Gold: Flags of the World Heads Pack
151,Adventure,1,1,1,1.0405743101214904,90495.7295,Flash Point: Fire Rescue
152,Adventure,1,0,0,0.9365168791093413,135766.2295,Surviving the Aftermath
153,Adventure,1,0,0,0.5723158705668198,36171.1295,Shantae: Friends to the End
154,Adventure,1,0,0,1.053581488998009,22589.9795,BROKE PROTOCOL: Online City RPG
155,Adventure,1,0,0,1.0665886678745276,45225.2295,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack
156,Adventure,1,0,0,1.2356819932692698,90495.7295,Megadimension Neptunia VII
157,Adventure,1,1,1,1.1446317411336395,90495.7295,The Letter - Horror Visual Novel
158,Adventure,1,0,0,1.0405743101214904,58806.3795,FSX Steam Edition: McDonnell Douglas A-4 Skyhawk™ Add-On
159,Adventure,1,1,0,1.1966604566397139,135766.2295,RPG in a Box
160,Adventure,1,0,0,1.053581488998009,135766.2295,Foxhole
161,Adventure,1,0,0,1.1836532777631954,407389.2295,Gal*Gun: Double Peace - 'Pheromone Z' Item
162,Adventure,1,1,0,1.2096676355162326,58806.3795,Delicious - Emily's Hopes and Fears
163,Adventure,1,0,0,1.1836532777631954,9008.8295,Macbat 64
164,Adventure,1,0,0,0.9885455946154159,18062.929500000002,Little Nightmares The Hideaway DLC
165,Adventure,1,0,0,1.2226748143927513,90495.7295,Derail Valley
166,Adventure,1,1,1,1.2616963510223071,27117.0295,Majotori
167,Adventure,1,0,0,0.6503589438259315,135766.2295,Dungeons & Dragons: Dark Alliance
168,Adventure,1,0,0,1.2356819932692698,90495.7295,AMID EVIL
169,Adventure,1,0,0,1.1966604566397139,4481.779500000001,Human-powered spacecraft
170,Adventure,1,1,1,0.9495240579858599,22589.9795,Dungeons 3 - Lord of the Kings
171,Adventure,1,0,0,0.9755384157388972,90495.7295,PlataGO! Super Platform Game Maker
172,Adventure,1,0,0,0.9625312368623786,0.0,Ring of Elysium
173,Adventure,1,0,0,1.0015527734919345,45225.2295,Grim Tales: The Wishes Collector's Edition
174,Adventure,1,1,0,0.9885455946154159,0.0,Poker Legends: Texas Hold'em Poker Tournaments
175,Adventure,1,1,1,1.2747035298988256,72387.5295,Rhythm Doctor
176,Adventure,1,0,0,1.2096676355162326,22589.9795,DW8XLCE - UNIQUE WEAPON PACK
177,Adventure,1,0,0,1.300717887651863,4481.779500000001,Hyperdimension Neptunia Re;Birth1 Additional Content1
178,Adventure,1,0,0,1.2356819932692698,90495.7295,What Remains of Edith Finch
179,Adventure,1,0,0,1.1966604566397139,54279.3295,Tales of Berseria™ - Summer Holiday Costume Pack
180,Adventure,1,0,0,0.9885455946154159,67860.4795,Mass Exodus Redux
181,Adventure,1,0,0,1.1446317411336395,2670.9595,The Deal
182,Adventure,1,0,0,0.9885455946154159,72387.5295,古剑奇谭二(GuJian2)
183,Adventure,1,1,1,1.1836532777631954,67860.4795,Underhero
184,Adventure,1,0,0,0.9365168791093413,90495.7295,End State
185,Adventure,1,0,0,1.2356819932692698,67860.4795,Lost Words: Beyond the Page
186,Adventure,1,0,0,1.092603025627565,40698.179500000006,Blasted Road Terror
187,Adventure,1,1,0,1.2486891721457885,58806.3795,Heart's Medicine - Hospital Heat
188,Adventure,1,0,0,1.2486891721457885,45225.2295,弹幕音乐绘 ～风雷幻奏曲～ / Barrage Musical  ~A Fantasy of Tempest~
189,Adventure,1,1,0,1.1056102045040834,90495.7295,Academia : School Simulator
190,Adventure,1,0,0,1.1706460988866767,113130.9795,東方憑依華　～ Antinomy of Common Flowers.
191,Adventure,1,0,0,0.7414091959615619,18062.929500000002,Titanic: The Experience
192,Adventure,1,0,0,1.1316245622571208,45225.2295,F-15C: The Georgian War Campaign
193,Adventure,1,0,0,1.2486891721457885,13535.879500000001,100% Orange Juice - Core Voice Pack 1
194,Adventure,1,1,0,0.7934379114676364,22589.9795,Tempest - Jade Sea
195,Adventure,1,0,0,1.2616963510223071,13535.879500000001,The Disappearing of Gensokyo: Sakuya Koishi Suika Character Pack
196,Adventure,1,1,1,1.2226748143927513,54279.3295,Cardinal Cross
197,Adventure,1,0,0,0.7153948382085247,31644.079500000003,Hybrid Animals
198,Adventure,0,0,0,1.2096676355162326,31644.079500000003,Squad - Original Soundtrack Vol. 1 & 2
199,Adventure,1,1,0,1.2486891721457885,13535.879500000001,Mibibli's Quest
200,Adventure,1,1,1,1.1706460988866767,22589.9795,Goat Simulator: Waste of Space
201,Adventure,1,1,1,0.9235097002328228,45225.2295,Demon Hunter 2: New Chapter
202,Adventure,1,0,0,1.0015527734919345,45225.2295,Rocketbirds 2 Evolution
203,Adventure,1,1,0,1.1446317411336395,45225.2295,Card Quest
204,Adventure,1,1,1,1.2226748143927513,135766.2295,Dungeons 3
205,Adventure,1,1,1,1.2616963510223071,36171.1295,Recursed
206,Adventure,1,0,0,1.1316245622571208,226307.22950000002,.hack//G.U. Last Recode
207,Adventure,1,0,0,1.0405743101214904,0.0,Defense Coin & Madhouse Mode Unlock
208,Adventure,1,1,0,1.1836532777631954,90495.7295,NITE Team 4 - Military Hacking Division
209,Adventure,1,1,0,1.0405743101214904,452659.7295,VideoPad Video Editor
210,Adventure,1,0,0,1.0015527734919345,226307.22950000002,Labyrinth of Refrain: Coven of Dusk
211,Adventure,1,1,0,1.1836532777631954,0.0,We Were Here
212,Adventure,1,0,0,1.0145599523684532,90495.7295,Social Club VR : Casino Nights
213,Adventure,1,0,0,0.8584738058502296,13535.879500000001,LEGO® Marvel Super Heroes 2 - Marvel's Black Panther Movie Character and Level Pack
214,Adventure,1,0,0,1.1966604566397139,1222.3035000000002,Your Bunny Wrote
215,Adventure,1,0,0,1.2356819932692698,4481.779500000001,Ukrainian ball in search of gas
216,Adventure,1,0,0,1.157638920010158,90495.7295,Audio Trip
217,Adventure,1,1,0,1.1186173833806021,36171.1295,The Tenth Line
218,Adventure,1,1,1,1.1836532777631954,38434.654500000004,SoulSet
219,Adventure,1,1,1,1.2096676355162326,22589.9795,Shotgun Farmers: Grow Your Guns
220,Adventure,1,0,0,1.1056102045040834,22589.9795,VOLTED
221,Adventure,0,0,0,0.910502521356304,45225.2295,Planescape: Torment: Enhanced Edition Official Soundtrack
222,Adventure,1,0,0,1.1446317411336395,72387.5295,Home Sweet Home
223,Adventure,1,0,0,1.0665886678745276,45225.2295,Cat Sorter VR
224,Adventure,1,0,1,1.1446317411336395,54279.3295,Heroes of Hammerwatch
225,Adventure,1,0,0,1.0795958467510463,4481.779500000001,Achievement Idler: Black
226,Adventure,1,0,0,0.7804307325911178,90495.7295,Bartender VR Simulator
227,Adventure,1,0,0,1.0405743101214904,22589.9795,CPUCores :: Network Monitor Lite
228,Adventure,1,1,1,0.6893804804554874,13535.879500000001,Neverwinter Nights: Heroes of Neverwinter
229,Adventure,1,0,0,1.0665886678745276,13535.879500000001,The Boogie Man
230,Adventure,1,1,0,1.1706460988866767,2308.7955,SpellKeeper
231,Adventure,1,0,0,1.2356819932692698,18062.929500000002,Kingdom Come: Deliverance – Artbook
232,Adventure,1,0,0,1.1446317411336395,181036.72950000002,Disgaea 5 Complete
233,Adventure,1,0,0,1.092603025627565,67860.4795,Pure Rock Crawling
234,Adventure,1,0,1,1.157638920010158,90495.7295,Robot Wants It All
235,Adventure,1,0,0,0.8324594480971923,27117.0295,Escape First
236,Adventure,0,0,0,1.2747035298988256,18062.929500000002,Tiny Bunny: Full Soundtrack
237,Adventure,1,0,0,1.1316245622571208,90495.7295,DJMAX RESPECT V - Portable 3 PACK
238,Adventure,1,0,0,0.8194522692206737,90495.7295,Homefront
239,Adventure,1,0,0,0.9885455946154159,90495.7295,Train Simulator: Southern Pacific Cab Forward Loco Add-On
240,Adventure,1,1,1,1.1966604566397139,67860.4795,The Stanley Parable
241,Adventure,1,0,0,1.300717887651863,90495.7295,Train Simulator: Western Pacific GP20 High Nose Loco Add-On
242,Adventure,1,0,0,1.0015527734919345,22589.9795,Dark Fall: The Journal
243,Adventure,1,1,0,1.1316245622571208,22589.9795,Talisman - The Highland Expansion
244,Adventure,1,1,1,1.0665886678745276,67860.4795,Pro Pinball Ultra
245,Adventure,1,1,1,1.2486891721457885,31644.079500000003,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet
246,Adventure,1,0,0,1.2356819932692698,7877.067,Mount Your Friends
247,Adventure,1,1,1,1.1706460988866767,90495.7295,Icewind Dale: Enhanced Edition
248,Adventure,1,1,1,1.2356819932692698,31644.079500000003,SLAMMED!
249,Adventure,1,0,0,1.0405743101214904,135766.2295,Sherlock Holmes: The Devil's Daughter
250,Adventure,0,0,0,1.300717887651863,22589.9795,Reassembly Soundtrack
251,Adventure,1,1,0,1.2747035298988256,22589.9795,Blake Stone: Aliens of Gold
252,Adventure,1,1,0,1.1056102045040834,22589.9795,Mystic Towers
253,Adventure,1,1,0,1.1706460988866767,31644.079500000003,Terminal Velocity
254,Adventure,1,0,0,1.1056102045040834,18062.929500000002,Lady & Trish Costumes
255,Adventure,1,1,1,1.1186173833806021,6745.3045,12 Labours of Hercules III: Girl Power
256,Adventure,1,0,0,1.1186173833806021,67860.4795,Mega Man Legacy Collection
257,Adventure,0,0,0,1.157638920010158,22589.9795,Battle Brothers - Soundtrack
258,Adventure,1,0,0,0.9625312368623786,0.0,Ragnarok Online
259,Adventure,1,1,1,1.2356819932692698,113130.9795,Total War: MEDIEVAL II – Definitive Edition
260,Adventure,1,1,0,1.1966604566397139,9461.5345,The Dig®
261,Adventure,1,0,0,1.2226748143927513,11272.354500000001,Sid Meier's Pirates!
262,Adventure,1,0,0,0.6243445860728942,45225.2295,Luxor 2
263,Adventure,1,1,1,1.092603025627565,45225.2295,Lugaru HD
264,Adventure,1,0,0,0.8974953424797855,31644.079500000003,Nancy Drew®: The Creature of Kapu Cave
265,Adventure,1,1,0,1.1966604566397139,45225.2295,Sam & Max: The Devil’s Playhouse
266,Adventure,1,1,1,1.1056102045040834,22589.9795,iBomber Defense Pacific
267,Adventure,1,0,0,1.0145599523684532,90495.7295,Dead Rising® 2
268,Adventure,1,0,0,0.7674235537145991,67860.4795,MDK2 HD
269,Adventure,1,0,0,1.1316245622571208,45225.2295,Demolition Company Gold Edition
270,Adventure,1,0,0,1.2486891721457885,22589.9795,LEGO® Star Wars™ - The Complete Saga
271,Adventure,1,0,0,1.1056102045040834,31644.079500000003,Tomb Raider I
272,Adventure,1,0,0,0.6243445860728942,45225.2295,Gothic 3: Forsaken Gods Enhanced Edition
273,Adventure,1,0,0,1.0275671312449717,45225.2295,Zombie Shooter 2
274,Adventure,1,1,0,0.7674235537145991,45225.2295,Paranormal
275,Adventure,1,1,1,1.1316245622571208,90495.7295,Nine Noir Lives
276,Adventure,1,0,0,1.053581488998009,45225.2295,Midnight Ghost Hunt
277,Adventure,1,0,0,1.1316245622571208,13535.879500000001,Resident Evil 2 - Original Ver. Soundtrack Swap
278,Adventure,1,0,0,1.1446317411336395,54279.3295,Hatsune Miku VR - 5 songs pack 1
279,Adventure,1,0,0,1.1836532777631954,45225.2295,Phantasmat: The Dread of Oakville Collector's Edition
280,Adventure,1,0,0,1.1706460988866767,90495.7295,Cake Bash
281,Adventure,1,0,0,0.8844881636032669,158401.47950000002,Bus Simulator 21
282,Adventure,1,1,1,1.1966604566397139,22589.9795,Big Dipper
283,Adventure,1,0,0,1.0405743101214904,45225.2295,Piczle Lines DX+α
284,Adventure,1,1,1,1.053581488998009,58806.3795,Interrogation: You will be deceived
285,Adventure,1,0,0,1.053581488998009,4481.779500000001,Soccer Player Simulator
286,Adventure,1,1,1,1.2226748143927513,67905.75,Logic World
287,Adventure,1,0,0,0.806445090344155,135766.2295,The Fisherman - Fishing Planet
288,Adventure,1,0,0,1.092603025627565,113130.9795,The Gunk
289,Adventure,1,1,1,0.9495240579858599,90495.7295,Vampire: The Masquerade - Coteries of New York
290,Adventure,1,0,0,1.1446317411336395,54279.3295,Monsters of Little Haven
291,Adventure,1,0,0,1.1316245622571208,67860.4795,Hydroneer
292,Adventure,1,0,0,0.7804307325911178,22589.9795,Tales of Arise - Pre-Order Bonus Pack
293,Adventure,1,1,1,1.300717887651863,13535.879500000001,Bunny e-Shop  The Art of the Game
294,Adventure,1,0,0,1.2226748143927513,67860.4795,Desecration of Wings
295,Adventure,1,1,0,1.2096676355162326,22589.9795,Knight Bewitched
296,Adventure,1,1,1,1.2226748143927513,4481.779500000001,Righty Tighty XL
297,Adventure,1,0,0,1.157638920010158,27117.0295,Diner Bros
298,Adventure,1,0,0,0.7544163748380806,0.0,Sniper Strike: Special Ops
299,Adventure,1,0,0,1.0795958467510463,113130.9795,Pestis
300,Adventure,1,0,0,1.1446317411336395,15799.404500000002,The Witch & The 66 Mushrooms
301,Adventure,1,0,0,0.9755384157388972,226307.22950000002,ELEX II
302,Adventure,1,0,0,0.9365168791093413,122185.07949999999,Godhood
303,Adventure,0,0,0,1.1966604566397139,22589.9795,TerraTech - Official Soundtrack
